False	0.0000, 0.1117, 269.6503, 0.0086, 0.0000, 0.0249, 30.0961, 0.0014, 0.9466, 0.9466, 0.4348, 0.5583, 0.3727, 0.5846, 10.4655, 9.9930, 0.5430, 0.7379, 1.8256, 1.8181, 0.0000, 0.0201, 17.6659, 0.0011
False	0.0000, 0.2018, 559.6750, 0.0283, 0.0000, 0.0756, 50.6365, 0.0029, 0.9093, 0.9093, 0.2593, 0.4450, 0.0768, 0.4255, 23.2117, -25.4782, 0.1427, 0.5970, 1.9174, 2.0817, 0.0000, 0.0350, 22.2444, 0.0019
False	0.0000, 0.1598, 319.0269, 0.0116, 0.0000, 0.0333, 33.1901, 0.0017, 0.9304, 0.9304, 0.3040, 0.4834, 0.2422, 0.4987, 32.3077, -58.4164, 0.3899, 0.6655, 1.9400, 2.0348, 0.0000, 0.0297, 27.8640, 0.0018
False	0.0000, 0.1083, 735.5065, 0.0481, 0.0000, 0.0218, 61.2949, 0.0045, 0.9330, 0.9330, 0.2987, 0.5019, 0.0638, 0.5697, 15.2093, -163.1885, 0.1200, 0.7258, 1.8766, 2.0123, 0.0000, 0.0213, 18.8135, 0.0020
False	0.0000, 0.1349, 316.5667, 0.0127, 0.0000, 0.0273, 35.1306, 0.0017, 0.9261, 0.9261, 0.3222, 0.5386, 0.2549, 0.5259, 21.5083, -766.6783, 0.4062, 0.6893, 1.9111, 2.0026, 0.0000, 0.0254, 17.6354, 0.0014
False	0.0000, 0.1202, 397.5249, 0.0239, 0.0000, 0.0258, 40.2046, 0.0049, 0.9337, 0.9337, 0.3564, 0.2620, 0.1677, 0.5471, 10.4735, -5.9064, 0.2872, 0.7073, 1.8257, 2.4076, 0.0000, 0.0240, 22.7109, 0.0029
True	0.0001, 0.1824, 1869.9134, 0.2198, 0.0000, 0.0302, 104.4679, 0.0153, 0.9168, 0.9168, 0.1437, 0.3988, 0.0050, 0.4521, 63.6529, -18.9316, 0.0099, 0.6227, 1.9691, 2.1115, 0.0000, 0.0412, 26.5226, 0.0063
True	0.0000, 0.2147, 833.5202, 0.0614, 0.0000, 0.0577, 64.4333, 0.0065, 0.9034, 0.9034, 0.1475, 0.3487, 0.0215, 0.4079, -183.6891, -10.6172, 0.0420, 0.5795, 2.0109, 2.2080, 0.0000, 0.0426, 28.7640, 0.0036
True	0.0000, 0.1852, 190.4876, 0.0074, 0.0000, 0.0339, 23.3733, 0.0013, 0.8503, 0.8503, 0.3809, 0.5164, 0.2028, 0.4159, -8.9461, -3.2323, 0.3373, 0.5875, 2.2517, 2.8960, 0.0000, 0.0445, 19.8298, 0.0012
True	0.0000, 0.2626, 198.8185, 0.0089, 0.0000, 0.0606, 25.3023, 0.0015, 0.5474, 0.5474, 0.0461, 0.1536, 0.0380, 0.2373, -3.0678, -1.7509, 0.0733, 0.3835, 2.9672, 4.6636, 0.0000, 0.0717, 23.0937, 0.0014
